Хозяева,Гости,1PHosts,2PHosts,3PHosts,OTHosts,SSHosts,1PGuests,2PGuests,3PGuests,OTGuests,SSGuests
Эдмонтон,Монреаль,2,1,3,0,0,1,1,0,0,0
Лос-Анджелес,Торонто,1,0,0,0,0,2,3,0,0,0
Сан-Хосе,Нэшвилл,3,0,2,0,0,0,3,1,0,0
Чикаго,Сент-Луис,0,1,0,0,0,0,0,0,0,0
Виннипег,Вашингтон,0,1,2,0,0,1,0,0,0,0
Колорадо,Бостон,1,1,4,0,0,2,1,0,0,0
Вегас,Анахайм,1,3,1,0,0,0,0,0,0,0
Коламбус,Флорида,0,3,4,0,0,2,1,0,0,0
Питтсбург,Тампа-Бэй,2,1,0,0,0,1,3,0,0,0
Айлендерс,Рейнджерс,2,3,2,0,0,2,1,2,0,0
Филадельфия,Нью-Джерси,0,0,0,0,0,1,0,2,0,0
Оттава,Детройт,1,1,0,0,0,0,1,0,0,0
Миннесота,Ванкувер,2,3,1,0,0,0,1,1,0,0
Аризона,Нэшвилл,1,1,0,0,0,0,0,1,0,0
Калгари,Монреаль,0,2,0,0,0,1,0,2,0,0
Сан-Хосе,Торонто,3,0,0,0,0,2,2,1,0,0
Даллас,Бостон,0,0,0,1,0,0,0,0,0,0
Виннипег,Баффало,0,1,0,0,0,0,0,1,0,1
Чикаго,Лос-Анджелес,0,0,1,0,0,0,1,0,0,1
Колорадо,Вашингтон,1,0,1,0,0,0,2,0,1,0
Вегас,Сент-Луис,1,0,0,0,0,1,3,0,0,0
Анахайм,Торонто,0,1,0,0,0,1,0,0,1,0
Нью-Джерси,Детройт,1,1,0,0,0,0,1,1,1,0
Филадельфия,Тампа-Бэй,0,1,4,0,0,0,3,2,1,0
Миннесота,Баффало,2,0,0,0,0,1,0,2,0,0
Ванкувер,Монреаль,0,1,1,0,0,0,1,2,0,0
Оттава,Питтсбург,3,2,1,0,0,1,0,3,0,0
Рейнджерс,Флорида,2,1,1,0,0,2,0,0,0,0
Каролина,Коламбус,0,1,0,0,0,1,3,0,0,0
Нэшвилл,Лос-Анджелес,0,2,3,0,0,0,3,0,0,0
Аризона,Бостон,0,1,0,0,0,2,0,0,0,0
Калгари,Эдмонтон,0,1,3,0,0,1,1,0,0,0
Сан-Хосе,Сент-Луис,0,3,1,0,0,0,0,0,0,0
Айлендерс,Даллас,1,0,1,0,0,0,4,2,0,0
Каролина,Нью-Джерси,2,0,0,0,0,1,0,0,0,0
Чикаго,Миннесота,2,0,1,0,0,0,1,0,0,0
Эдмонтон,Вегас,2,0,1,0,0,1,3,2,0,0
Анахайм,Колорадо,1,2,0,0,0,0,2,1,1,0
Торонто,Коламбус,0,2,2,0,0,2,0,0,0,0
Рейнджерс,Даллас,0,1,1,0,0,0,1,0,0,0
Питтсбург,Баффало,2,2,0,0,0,1,2,1,1,0
Оттава,Флорида,1,2,2,0,0,4,2,1,0,0
Монреаль,Вашингтон,1,3,0,0,0,2,1,1,1,0
Нэшвилл,Тампа-Бэй,1,2,0,0,0,1,0,1,0,0
Сент-Луис,Лос-Анджелес,0,0,0,0,0,0,1,1,0,0
Калгари,Вегас,5,2,0,0,0,0,0,2,0,0
Ванкувер,Виннипег,1,2,0,0,0,3,1,2,0,0
Сан-Хосе,Эдмонтон,2,1,0,0,0,1,1,1,1,0
Питтсбург,Даллас,3,2,0,0,0,0,0,1,0,0
Рейнджерс,Айлендерс,3,1,1,0,0,0,0,0,0,0
Нью-Джерси,Монреаль,2,3,0,0,0,1,0,1,0,0
Каролина,Торонто,2,0,3,0,0,1,0,1,0,0
Вашингтон,Чикаго,2,1,1,0,0,0,1,1,0,0
Детройт,Бостон,0,1,1,1,0,0,1,1,0,0
Баффало,Филадельфия,4,0,1,0,0,0,2,0,0,0
Тампа-Бэй,Флорида,2,2,3,0,0,1,1,1,0,0
Миннесота,Оттава,2,2,2,0,0,0,1,3,0,0
Нэшвилл,Сент-Луис,1,1,2,0,0,1,0,0,0,0
Аризона,Вегас,1,0,1,0,0,0,2,0,1,0
Анахайм,Ванкувер,1,1,2,0,0,0,1,2,0,0
Калгари,Виннипег,5,0,1,0,0,1,1,1,0,0
Лос-Анджелес,Колорадо,1,0,2,0,0,2,2,3,0,0
Филадельфия,Рейнджерс,1,0,3,0,0,0,0,0,0,0
Баффало,Монреаль,1,0,1,1,0,0,1,1,0,0
Вашингтон,Детройт,0,1,2,0,0,1,0,0,0,0
Миннесота,Виннипег,0,0,4,0,0,1,1,0,0,0
Нью-Джерси,Айлендерс,0,1,2,0,0,1,1,1,1,0
Анахайм,Эдмонтон,0,0,1,1,0,0,0,1,0,0
Вегас,Калгари,0,1,1,0,0,0,0,0,0,0
Коламбус,Торонто,2,1,1,0,0,1,1,0,0,0
Тампа-Бэй,Чикаго,4,0,0,0,0,1,1,0,0,0
Каролина,Флорида,1,0,3,0,0,0,0,1,0,0
Бостон,Питтсбург,0,1,0,1,0,0,1,0,0,0
Аризона,Колорадо,0,0,1,0,0,3,0,2,0,0
Сент-Луис,Нэшвилл,3,2,1,0,0,1,0,1,0,0
Даллас,Оттава,1,2,3,0,0,1,1,2,0,0
Сан-Хосе,Ванкувер,2,0,2,0,0,0,0,0,0,0
Рейнджерс,Вашингтон,1,1,1,0,0,0,3,2,0,0
Торонто,Филадельфия,4,2,0,0,0,0,0,0,0,0
Айлендерс,Каролина,2,1,1,0,0,0,0,1,0,0
Питтсбург,Коламбус,3,1,0,0,0,1,1,0,0,0
Детройт,Баффало,0,1,1,0,0,1,0,1,0,1
Монреаль,Бостон,0,0,2,0,0,2,0,1,0,0
Сент-Луис,Виннипег,2,0,2,0,0,2,4,2,0,0
Флорида,Чикаго,2,2,0,0,0,0,2,2,1,0
Колорадо,Даллас,0,1,2,0,0,0,0,2,0,0
Лос-Анджелес,Ванкувер,0,2,0,0,0,0,2,2,0,0
Вегас,Сан-Хосе,4,1,1,0,0,0,0,0,0,0
Аризона,Калгари,0,0,1,0,0,2,2,2,0,0
Тампа-Бэй,Нью-Джерси,4,1,0,0,0,1,0,1,0,0
Нэшвилл,Анахайм,1,2,2,0,0,0,2,0,0,0
Лос-Анджелес,Эдмонтон,1,1,3,0,0,1,1,0,0,0
Рейнджерс,Оттава,1,0,3,0,0,1,0,1,0,0
Айлендерс,Вашингтон,1,0,0,0,0,1,1,2,0,0
Торонто,Бостон,1,2,1,0,0,0,2,0,0,0
Флорида,Нью-Джерси,0,2,1,1,0,0,2,1,0,0
Детройт,Коламбус,0,3,2,0,0,3,2,2,0,0
Баффало,Сан-Хосе,0,1,1,1,0,0,0,2,0,0
Филадельфия,Оттава,1,2,0,0,0,1,0,3,0,0
Тампа-Бэй,Анахайм,0,1,0,0,0,0,1,2,0,0
Монреаль,Каролина,0,0,1,0,0,1,1,0,0,0
Виннипег,Питтсбург,1,2,0,0,0,1,1,2,0,0
Чикаго,Вегас,0,2,1,0,0,3,3,2,0,0
Миннесота,Аризона,1,2,0,0,0,1,0,3,0,0
Нэшвилл,Колорадо,1,1,0,0,0,1,1,1,0,0
Эдмонтон,Даллас,0,0,0,1,0,0,0,0,0,0
Ванкувер,Лос-Анджелес,0,0,1,0,0,0,1,0,1,0
Детройт,Сент-Луис,0,3,1,0,0,0,2,1,0,0
Флорида,Анахайм,0,2,0,0,0,1,1,1,0,0
Торонто,Сан-Хосе,3,1,1,0,0,1,1,1,0,0
Калгари,Даллас,1,0,2,0,0,1,1,1,1,0
Колорадо,Питтсбург,1,2,3,0,0,0,2,1,0,0
Коламбус,Миннесота,1,3,0,0,0,1,1,0,0,0
Оттава,Рейнджерс,2,1,0,0,0,0,0,0,0,0
Тампа-Бэй,Баффало,3,0,2,0,0,2,1,1,0,0
Нэшвилл,Аризона,0,0,0,0,0,0,2,1,0,0
Виннипег,Чикаго,2,2,2,0,0,2,1,2,0,0
Бостон,Айлендерс,0,1,0,0,1,1,0,0,0,0
Эдмонтон,Лос-Анджелес,2,0,1,0,0,2,0,0,0,0
Ванкувер,Вегас,1,0,2,0,0,1,1,2,0,0
Флорида,Баффало,1,0,1,1,0,1,1,0,0,0
Вашингтон,Нью-Джерси,1,1,4,0,0,0,1,2,0,0
Каролина,Анахайм,1,0,0,0,0,0,0,1,1,0
Колорадо,Сент-Луис,0,1,1,0,0,2,0,0,1,0
Калгари,Лос-Анджелес,1,0,3,0,0,0,1,0,0,0
Оттава,Сан-Хосе,0,3,3,0,0,0,1,1,0,0
Ванкувер,Даллас,1,0,0,0,0,0,0,2,0,0
Бостон,Детройт,1,0,1,0,0,0,2,2,0,0
Нью-Джерси,Виннипег,1,0,2,0,0,0,1,2,1,0
Питтсбург,Филадельфия,1,1,0,0,0,1,1,2,0,0
Миннесота,Торонто,1,1,1,0,0,2,1,2,0,0
Флорида,Тампа-Бэй,2,2,0,0,0,1,2,1,1,0
Айлендерс,Коламбус,0,2,1,0,0,0,2,0,0,0
Монреаль,Рейнджерс,2,2,1,0,0,0,2,0,0,0
Аризона,Сент-Луис,1,4,1,0,0,0,1,0,0,0
Нэшвилл,Чикаго,4,0,1,0,0,1,1,0,0,0
Эдмонтон,Вегас,1,0,1,0,0,0,1,0,0,0
Вашингтон,Анахайм,3,2,0,0,0,1,2,3,0,0
Рейнджерс,Виннипег,1,2,0,0,0,0,0,3,0,1
Чикаго,Калгари,1,1,0,0,0,1,2,0,0,0
Детройт,Колорадо,0,0,0,0,0,0,1,1,0,0
Монреаль,Сан-Хосе,0,1,0,0,0,2,1,0,0,0
Лос-Анджелес,Каролина,0,0,2,0,0,0,0,0,0,0
Нью-Джерси,Тампа-Бэй,0,1,0,0,0,2,2,1,0,0
Нэшвилл,Баффало,1,1,0,0,0,0,1,0,0,0
Даллас,Эдмонтон,1,0,3,0,0,0,0,1,0,0
